id,start,end,length,remove,change,new name,new start,new end,Explanation
68_Sotomayor_Breyer_MitchellvWisconsin.mp3,914.36,915.36,1,,,,,,
69_Breyer_Sotomayor_MitchellvWisconsin.mp3,914.68,919.36,4.68,,,,,,
70_Sotomayor_Hinkel_MitchellvWisconsin.mp3,931.12,937.12,6,1,,,,,no turn change
71_Hinkel_Sotomayor_MitchellvWisconsin.mp3,971.72,977.72,6,,,,,,
72_Sotomayor_Hinkel_MitchellvWisconsin.mp3,977.04,981.2,4.16,,,,,,
73_Hinkel_Sotomayor_MitchellvWisconsin.mp3,979.04,985.2,6.16,,,,,,
74_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1046.28,1052.28,6,,,,,,
75_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1058,1064,6,,,,,,
76_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1065.48,1070.64,5.16,,,,,,
77_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1068.64,1074.64,6,,,,,,
78_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1087.08,1093.08,6,,,,,,
79_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1100.44,1106.44,6,,,,,,
80_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1107.88,1113.88,6,,,,,,
81_Hinkel_Roberts_MitchellvWisconsin.mp3,1115.68,1121.68,6,,,,,,
82_Roberts_Hinkel_MitchellvWisconsin.mp3,1193.96,1199.96,6,1,,,,,second speaker inaudible
83_Hinkel_Roberts_MitchellvWisconsin.mp3,1211.52,1214.52,3,,,,,,
84_Roberts_Hinkel_MitchellvWisconsin.mp3,1213.52,1214.72,1.2,,,,,,
85_Hinkel_Roberts_MitchellvWisconsin.mp3,1214.52,1216.24,1.72,1,,,,,second speaker inaudible
86_Roberts_Hinkel_MitchellvWisconsin.mp3,1214.72,1220.24,5.52,,,,,,
87_Hinkel_Roberts_MitchellvWisconsin.mp3,1218.84,1224.32,5.48,,,,,,
88_Roberts_Hinkel_MitchellvWisconsin.mp3,1222.32,1228.32,6,,,,,,
89_Hinkel_Roberts_MitchellvWisconsin.mp3,1231.6,1237.16,5.56,1,,,,,second speaker laugh
90_Roberts_Hinkel_MitchellvWisconsin.mp3,1235.16,1240.24,5.08,1,,,,,second speaker cough
91_Hinkel_Roberts_MitchellvWisconsin.mp3,1238.24,1244.08,5.84,,,,,,
92_Roberts_Hinkel_MitchellvWisconsin.mp3,1242.08,1248.08,6,,,,,,
93_Hinkel_Roberts_MitchellvWisconsin.mp3,1253.72,1256.92,3.2,,,,,,
94_Roberts_Hinkel_MitchellvWisconsin.mp3,1255.72,1259.72,4,1,,,,,no turn change
95_Hinkel_Roberts_MitchellvWisconsin.mp3,1256.92,1263.72,6.8,,,,,,
96_Roberts_Hinkel_MitchellvWisconsin.mp3,1284.96,1290.96,6,,,,,,
97_Hinkel_Roberts_MitchellvWisconsin.mp3,1296.48,1302.48,6,,,,,,
98_Roberts_Hinkel_MitchellvWisconsin.mp3,1319.16,1325.16,6,,,,,,
99_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1329.16,1335.16,6,1,,,,,first speaker inaudible 
100_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1334.72,1340.72,6,,1,,,1338.72,remove second turn change
101_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1338.76,1344.76,6,,,,,,
102_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1350.24,1352.84,2.6,,,,,,
103_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1352.24,1356.84,4.6,,,,,,
104_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1357.96,1360.52,2.56,,,,,,
105_Hinkel_Sotomayor_MitchellvWisconsin.mp3,1359.96,1364.52,4.56,,,,,,
106_Sotomayor_Hinkel_MitchellvWisconsin.mp3,1364.96,1368.16,3.2,,,,,,
107_Hinkel_Roberts_MitchellvWisconsin.mp3,1366.96,1372.16,5.2,,,,,,
108_Roberts_Roberts_MitchellvWisconsin.mp3,1373.08,1379.08,6,1,,,,,Audience laughter
109_Roberts_Hinkel_MitchellvWisconsin.mp3,1391.28,1394.28,3,1,,,,,no turn change
110_Hinkel_Roberts_MitchellvWisconsin.mp3,1393.28,1397.32,4.04,1,,,,,no turn change
111_Roberts_Hinkel_MitchellvWisconsin.mp3,1395.32,1401.32,6,,,,,,
112_Hinkel_Breyer_MitchellvWisconsin.mp3,1423.52,1429.52,6,,,,,,
113_Breyer_Hinkel_MitchellvWisconsin.mp3,1513.08,1517.88,4.8,,,,,,
